C3-A1,C4-A2,F3-A1,F4-A2,F7-A1,F8-A2,Fp1-A1,Fp2-A2,O1-A1,O2-A2,P3-A1,P4-A2,T3-A1,T4-A2,T5-A1,T6-A2,LABEL
6.756694896,-10.86076143,7.857785916,-11.16105898,2.852826734,-10.56046387,-2.152132448,10.96086061,9.459372854,4.95490959,2.252231632,-7.557488365,7.257190814,-7.257190814,10.96086061,-18.06790265,NORMAL
6.756694896,-9.859769589,14.56443122,-10.16006714,3.753719387,-11.46135653,-3.053025101,9.659571221,8.758678569,4.354314488,1.351338979,-6.556496529,6.656595712,-6.556496529,10.86076143,-17.16700999,NORMAL
6.756694896,-12.8627451,7.357289998,-10.26016632,4.554512856,-10.76066224,-3.85381857,9.05897612,7.9578851,4.254215305,0.050049592,-5.355306325,7.357289998,-6.05600061,10.26016632,-14.36423285,NORMAL
6.05600061,-9.659571221,6.656595712,-11.76165408,5.155107958,-6.356298161,-4.754711223,9.459372854,6.956893263,3.653620203,-0.950942245,-3.653620203,8.158083467,-4.754711223,9.359273671,-9.05897612,NORMAL
5.455405509,-6.356298161,10.56046387,-10.26016632,5.755703059,-2.652628367,-5.355306325,10.05996796,6.356298161,3.453421836,-1.451438163,-2.152132448,9.05897612,-4.154116121,8.25818265,-5.655603876,NORMAL
5.255207141,-15.06492714,13.26314183,-8.158083467,6.456397345,-3.253223468,-5.655603876,9.959868772,5.755703059,3.153124285,-2.052033265,-0.950942245,11.16105898,-3.653620203,7.357289998,-6.05600061,NORMAL
4.654612039,-19.86968795,16.26611734,-9.05897612,6.956893263,-3.053025101,-5.955901427,10.36026551,4.654612039,2.552529183,-2.952925917,-0.350347143,12.46234836,-1.851834897,6.656595712,-6.856794079,NORMAL
4.254215305,-14.76462959,18.76859693,-9.259174487,7.257190814,-2.152132448,-6.356298161,10.96086061,3.453421836,1.65163653,-3.653620203,0.050049592,13.36324102,-0.350347143,6.05600061,-6.856794079,NORMAL
4.254215305,-13.76363775,19.5693904,-8.057984283,7.9578851,-3.553521019,-6.356298161,11.26115816,2.552529183,0.950942245,-3.953917754,0.950942245,13.36324102,-0.250247959,5.155107958,-8.758678569,NORMAL
4.254215305,-14.96482795,18.76859693,-7.557488365,8.858777752,-3.353322652,-6.356298161,12.46234836,1.551537346,0.050049592,-4.554512856,1.65163653,12.46234836,0.350347143,3.953917754,-9.359273671,NORMAL
4.354314488,-13.26314183,19.36919203,-5.755703059,8.858777752,-1.451438163,-6.656595712,12.46234836,0.350347143,-0.050049592,-4.854810407,1.951934081,11.76165408,1.65163653,2.75272755,-6.856794079,NORMAL
3.753719387,-14.76462959,20.47028305,-4.254215305,8.858777752,-1.451438163,-6.856794079,9.459372854,-0.850843061,-0.350347143,-5.055008774,2.452429999,11.56145571,2.452429999,1.551537346,-5.155107958,NORMAL
2.75272755,-16.56641489,18.3682002,-5.155107958,9.359273671,-1.151140612,-6.656595712,7.657587549,-1.851834897,-1.251239796,-5.355306325,3.453421836,11.76165408,2.452429999,0.650644694,-4.454413672,NORMAL
2.552529183,-16.76661326,16.96681163,-5.055008774,9.05897612,1.551537346,-6.656595712,9.359273671,-2.452429999,-2.352330816,-5.955901427,4.254215305,12.46234836,1.351338979,0.150148775,-2.052033265,NORMAL
3.453421836,-17.46730755,17.56740673,-2.652628367,8.858777752,3.153124285,-6.656595712,12.16205081,-3.553521019,-2.952925917,-6.05600061,4.354314488,12.66254673,-0.250247959,-0.650644694,-0.050049592,NORMAL
